id,sent1,sent2,ending0,ending1,ending2,ending3,ending4,end0type,end1type,end2type,end3type,end4type,label
7883,were very hungary,,make some pizza,make a pizza to eat,place an order,look to see what they are eating.,make a big sandwich with some friends,lan,lan,vis,vis,targ,4
7884,want something healthy to eat,,get some flour to make cookies with my family,prepare some sliced cucumbers,pack some donuts and send them away to you,prepare food in the kitchen,place an order,lan,targ,vis,lan,vis,1
7885,do workouts tomorrow,,get to eat a donut today,eat a bowl of food,let my mum feed me some fruit,eat the food on the plate,pick up a spoon and feed this boy,targ,lan,vis,lan,vis,0
7886,feeling hungry,,place an order,eat the food on the plate,eat the orange slices,eat the food on the table,pack some donuts and send them away to you,vis,lan,targ,lan,vis,2
7887,am hungry,,rest with friends and indulge in a treat of ice cream,i will eat the food from my plate,pack some donuts and send them away to you,eat my meal,eat the food on the table,vis,lan,vis,targ,lan,3
7888,feel hungry,,pack some donuts and send them away to you,steal a pretzel off the rack and run,put this food in my mouth,eat this cake,i'll eat this pizza,vis,vis,targ,lan,lan,2
7889,feel very hungry tonight,,join the family for dinner,pack some donuts and send them away to you,place an order,eat all this food,eat a meal with the family,lan,vis,vis,targ,lan,3
7890,if i am hungry,,i will eat the donut,walk over to the food truck and buy a hotdog.,take this big piece of cake for myself,rest with friends and indulge in a treat of ice cream,i will cut cake and eat some.,targ,vis,lan,vis,lan,0
7891,feel hungry,,pack some donuts and send them away to you,eat a meal a hot dog with friends,eat a large hotdog,eat some food from the buffet,place an order,vis,lan,targ,lan,vis,2
7892,all this looks delicious.,,make a lot of food,take this big piece of cake for myself,pack some donuts and send them away to you,steal a pretzel off the rack and run,i want a bigger portion,lan,lan,vis,vis,targ,4
7893,am hungry,,eat a bowl of food,pack some donuts and send them away to you,place an order,eat pasta with a fork,eat with a spoon.,lan,vis,vis,lan,targ,4
7894,saw this mess.,,feel like grabbing a napkin.,pack some donuts and send them away to you,sit down for a meal at this table,join this young boy and eat a donut,eat my food at the table,targ,vis,lan,vis,lan,0
7895,want to do something fun,,order a slice of cake like this man,have a doughnut like this child.,prepare some donuts,eat a hot dog while sitting next to my bike,blindfold myself and try to eat a hanging doughbut,lan,lan,targ,vis,vis,2
7896,i had a lot of appetite,,pick up a spoon and feed this boy,i will put some toppings on the pizza,i would eat some tacos,place an order,eat pizza and olives,vis,lan,targ,vis,lan,2
7897,am feeling hungry,,get some cake,eat the chocolate cake,get a donut with sprinkles,eat while i watch him,blindfold myself and try to eat a hanging doughbut,lan,lan,targ,vis,vis,2
7898,could share this i would.,,eat some green beans from the pan,eat something healthy.,take a bite of food that is offered on the fork,place an order,steal a pretzel off the rack and run,lan,targ,lan,vis,vis,1
7899,want to eat,,rest with friends and indulge in a treat of ice cream,eat the food put in front of me,pack some donuts and send them away to you,grab myself a plate,prepare the food,vis,lan,vis,targ,lan,3
7900,feel hungry.,,eat a piece of cake with this woman,place an order,let my mum feed me some fruit,eat a donut.,eat the food on the plate,lan,vis,vis,targ,lan,3
7901,wait for a minute,,be able to get a serving for myself.,look to see what they are eating.,i will take food from this oven.,eat some food from the buffet,rest with friends and indulge in a treat of ice cream,targ,vis,lan,lan,vis,0
7902,am feeling hungry,,drink milk,take the food out of the oven,pack some donuts and send them away to you,eat the food on the table,take the egg off and eat this sandwich,vis,lan,vis,lan,targ,4
7903,want a well balanced breakfast,,let my mum feed me some fruit,eat the plate full of food,take the pizza away and eat it myself,place an order,take a bite of food that is offered on the fork,vis,targ,lan,vis,lan,1
7904,if i was very hungry,,place an order,order my own pizza and let these people eat theirs,eat some food at the restaurant,i would eat some fries,rest with friends and indulge in a treat of ice cream,vis,lan,lan,targ,vis,3
7905,am craving barbecue,,let my mum feed me some fruit,eat a plate of ribs,eat a slice of pizza,place an order,eat a piece of cake,vis,targ,lan,vis,lan,1
7906,want that full feeling,,eat the food,let others eat before me and take some home for a snack,pack some donuts and send them away to you,place an order,eat a breakfast buffet,lan,lan,vis,vis,targ,4
7907,i am so hungry,,eat a meal a hot dog with friends,place an order,let my mum feed me some fruit,eat a slice of pizza.,eat a hamburger with bacon and french fries,lan,vis,vis,lan,targ,4
7908,get hungry after a day of shopping,,blindfold myself and try to eat a hanging doughbut,visit cafeteria and eat something,grab a cupcake and eat with these people,look to see what they are eating.,also order some ice cream for lunch,vis,lan,lan,vis,targ,4
7909,feel like eating something sweet,,order food on the phone,look to see what they are eating.,steal a pretzel off the rack and run,order the same dessert as the man,order ice cream,lan,vis,vis,lan,targ,4
7910,wait for my turn,,get some radishes,eat a hot dog while sitting next to my bike,go to a fresh food market,pick some fruit and sell them,steal a pretzel off the rack and run,targ,vis,lan,lan,vis,0
7911,am hungry,,eat a donut,place an order,let my mum feed me some fruit,eat a piece of cake with this woman,eat a bowl of food,targ,vis,vis,lan,lan,0
7912,i am feeling overwhelmed.,,i will join friends for dinner,pack some donuts and send them away to you,i will eat the salad.,rest with friends and indulge in a treat of ice cream,eat my food on the roof patio,lan,vis,targ,vis,lan,2
7913,want to be helpful,,eat both the pizzas on the table,cut the sandwiches in half with the knife,rest with friends and indulge in a treat of ice cream,cut the cake with a quick slash down,pack some donuts and send them away to you,lan,targ,vis,lan,vis,1
7914,feel hungry,,let my mum feed me some fruit,place an order,eat a piece of cake with this woman,eat a donut,eat the food on the plate,vis,vis,lan,targ,lan,3
7915,am feeling hungry,,eat sweet food,steal a pretzel off the rack and run,place an order,take a bite of food that is offered on the fork,eat cake and ice cream,targ,vis,vis,lan,lan,0
7916,am hungry,,eat the food in the bowl,pack some donuts and send them away to you,eat the food on the plate,place an order,eat the hot dog,lan,vis,lan,vis,targ,4
7917,want to satisfy my hunger,,eat some food from the buffet,eat a meal with pasta,place an order,eat a hamburger,pack some donuts and send them away to you,lan,lan,vis,targ,vis,3
7918,if i feeling very busy,,look to see what they are eating.,eat a hot dog while sitting next to my bike,i will enjoy the food the cooks are making,i will go to bakery,i will take a couple of slices and leave the reception,vis,vis,lan,targ,lan,3
7919,stretch too much,,throw it back to the girl.,take a piece of the cake,pack some donuts and send them away to you,throw back this plate,find me something sweet to eat on,lan,lan,vis,targ,vis,3
7920,feel hungry,,eat this meal,eat the food in the bowl,steal a pretzel off the rack and run,eat dessert at the table,pack some donuts and send them away to you,targ,lan,vis,lan,vis,0
7921,i like my job,,eat a hot dog while sitting next to my bike,i will buy some fruit off the table,walk over to the food truck and buy a hotdog.,i will leave these people with their cake,i'll keep cutting these grapes,vis,lan,vis,lan,targ,4
7922,it looks delicious,,rest with friends and indulge in a treat of ice cream,i will eat this sandwich,pack some donuts and send them away to you,i will eat the food from my plate,take this big piece of cake for myself,vis,targ,vis,lan,lan,1
7923,was craving some sugar,,place an order,let others eat before me and take some home for a snack,walk over to the food truck and buy a hotdog.,eat a little dessert on my plate,eat a slice of cake.,vis,lan,vis,targ,lan,3
7924,get peckish,,eat a bowl of food,eat a meal with pasta,eat a snack,place an order,walk over to the food truck and buy a hotdog.,lan,lan,targ,vis,vis,2
7925,want to cool off and relax,,walk over to the food truck and buy a hotdog.,enjoy some ice cream,order a slice of cake like this man,have a slice of cake in the park,steal a pretzel off the rack and run,vis,targ,lan,lan,vis,1
7926,am feeling brave,,laugh at the people trying to eat doughnuts whiles blindfolded,rest with friends and indulge in a treat of ice cream,offer than man a napkin,prepare a meal,offer the boy dental floss,vis,vis,targ,lan,lan,2
7927,if i want to eat,,eat some food on the table,walk over to the food truck and buy a hotdog.,grab a plate and get some food,eat a hot dog while sitting next to my bike,i will take some snacks,lan,vis,lan,vis,targ,4
7928,if i feeling very hungry,,i will go to hot dogs,have a meal with my friends,pack some donuts and send them away to you,i will eat pizza with co-workers.,place an order,targ,lan,vis,lan,vis,0
7929,am thinking that i'm very hungry,,eat a donut,place an order,let my mum feed me some fruit,eat a bowl of food,eat cake and ice cream,targ,vis,vis,lan,lan,0
7930,want to refresh after a day of exercise,,eat a slice of cake,rest with friends and indulge in a treat of ice cream,order this woman sandwich,look to see what they are eating.,eat a good piece of cake,lan,targ,vis,vis,lan,1
7931,eat this would be happy,,place an order,i'll eat pizaa sometime,i will cut cake and eat some.,steal a pretzel off the rack and run,let others eat before me and take some home for a snack,vis,targ,lan,vis,lan,1
7932,can get this plate ready,,place an order,be able eat the vegetables,make a lot of food,take a bite of food that is offered on the fork,pack some donuts and send them away to you,vis,targ,lan,lan,vis,1
7933,were starving,,pack some donuts and send them away to you,rest with friends and indulge in a treat of ice cream,eat my food at the table,eat my bread,take a bite of the cake,vis,vis,lan,targ,lan,3
7934,am hungry,,rest with friends and indulge in a treat of ice cream,eat pizza with the man,eat the food in the bowl,pack some donuts and send them away to you,eat the sandwich,vis,lan,lan,vis,targ,4
7935,am hungry,,pack some donuts and send them away to you,place an order,eat a meal a hot dog with friends,eat some food on the table,eat a hot dog.,vis,vis,lan,lan,targ,4
7936,am hungry,,eat some food from the buffet,place an order,walk over to the food truck and buy a hotdog.,eat the food on the table,eat a snack,lan,vis,vis,lan,targ,4
7937,if i had that sandwich i'd eat it,,place an order,rest with friends and indulge in a treat of ice cream,i will make a sandwich,offer my food to the man,i will take food from this oven.,vis,vis,targ,lan,lan,2
7938,am feeling hungry,,buy myself more than one hot dog,buy the food at the marketplace from the women,let my mum feed me some fruit,teach my them to make a sandwich,look to see what they are eating.,targ,lan,vis,lan,vis,0
7939,want to take a break,,sit down to eat with my dog,eat a hot dog while sitting next to my bike,get a hot dog and sit on the bench and enjoy it,buy these same sugary sweets,will smile at this sour faced man,lan,targ,lan,vis,vis,1
7940,want to join them.,,take the milkshake off the table.,i will drink the soda,pack some donuts and send them away to you,get a drink from the store,find me something sweet to eat on,targ,lan,vis,lan,vis,0
7941,want to cool down,,pack some donuts and send them away to you,take a bite of the cake,place an order,accept a bite of the food,eat a bite of this ice cream,vis,lan,vis,lan,targ,4
7942,feel like playing,,feed my doll some of my food.,cuddle the little kitten,place an order,be fed by my an adult,rest with friends and indulge in a treat of ice cream,targ,lan,vis,lan,vis,0
7943,want to be happy,,eat a donut,place an order,eat the food on the plate,eat some cake and ice cream,let my mum feed me some fruit,targ,vis,lan,lan,vis,0
7944,was feeling hungry,,look to see what they are eating.,steal a pretzel off the rack and run,eat some food on the table,take a seat at the table,buy myself a box of donuts,targ,vis,lan,lan,vis,0
7945,am feeling famished,,take a huge bite out of my sandwich,pack some donuts and send them away to you,eat the pizza,eat my food at a table,rest with friends and indulge in a treat of ice cream,targ,vis,lan,lan,vis,0
7946,am very hungry,,eat my food on the roof patio,place an order,eat some green beans from the pan,i will eat some broccoli,steal a pretzel off the rack and run,lan,vis,lan,targ,vis,3
7947,want something healthy,,place an order,eat a bowl of food,eat some broccoli,let others eat before me and take some home for a snack,pack some donuts and send them away to you,vis,lan,targ,lan,vis,2
7948,am feeling hungry,,eat a sandwich.,pack some donuts and send them away to you,place an order,eat some food from the buffet,eat a meal with pasta,targ,vis,vis,lan,lan,0
7949,was feeling friendly,,walk over to the food truck and buy a hotdog.,steal a pretzel off the rack and run,have a drink with these people,have a drink in my hand.,will smile at this sour faced man,vis,vis,lan,lan,targ,4
7950,a little hungry after a rain storm.,,will smile at this sour faced man,buy a sandwich,get a table on the restaurant,eats more sweets,walk over to the food truck and buy a hotdog.,vis,lan,lan,vis,targ,4
7951,am hungry,,pack some donuts and send them away to you,place an order,eat pizza at this restaurant.,eat the pizza on the table,eat this piece of bread,vis,vis,lan,lan,targ,4
7952,want to play the game,,eat my food at the table,pack some donuts and send them away to you,i will put down my burrito.,rest with friends and indulge in a treat of ice cream,i will take food from this oven.,lan,vis,targ,vis,lan,2
7953,am feeling angry,,look to see what they are eating.,knock the ball out of the park,eat something at the table from the cart,knock the hotdog onto the ground,find me something sweet to eat on,vis,lan,lan,targ,vis,3
7954,i feeling very hungry,,eat the pizza on the table,rest with friends and indulge in a treat of ice cream,look to see what they are eating.,i will feed the dog with cookies,i will go to the hot dog,lan,vis,vis,lan,targ,4
7955,am hungry,,look in the refrigerator for food,try one of these snacks on the tray,eat a hot dog while sitting next to my bike,look in the refrigerator for food.,blindfold myself and try to eat a hanging doughbut,lan,targ,vis,lan,vis,1
7956,want to show them my food,,i will raise my sandwich up high,pack some donuts and send them away to you,open the oven and take a look,rest with friends and indulge in a treat of ice cream,instead order me something good to eat off the menu,targ,vis,lan,vis,lan,0
7957,am hungry,,eat a bowl of food,have a bite of the sub.,eat a plate of cake and sweets,sit on a log and eat a donut.,i will buy a hotdog,lan,vis,lan,targ,vis,3
7958,wanted exercise,,play frisbee with friends,leave the court before the men finish their tennis match,i will hope the woman wins the tennis match,join the tennis,play frisbee with people,lan,vis,vis,targ,lan,3
7959,feel bored watching,,compare images of me hitting the tennis ball with my racket to improve my game,shed a tear and applaud my favourite tennis player of all time.,play baseball with the players,play baseball in the park,leave the tennis game,vis,vis,lan,lan,targ,4
7960,want to play,,cheer for the tennis player,cheer on the tennis player,serve the ball and beat my opponent,grab my racket and play in a tennis match,play baseball with my friends,vis,vis,lan,targ,lan,3
7961,feel tired after a long day,,compare images of me hitting the tennis ball with my racket to improve my game,play frisbee.,talk to my friend about tennis,go to the park and play frisbee,i will hope the woman wins the tennis match,vis,lan,targ,lan,vis,2
7962,want to play some sports,,throw another tennis ball at the player,shed a tear and applaud my favourite tennis player of all time.,wait until the man is done with his racquet,play a tennis match,play a game of competitive frisbee,lan,vis,vis,targ,lan,3
7963,am feeling nosy,,watch julia goerges and maria kirilenko play doubles at wimbledon,play baseball with this man,challenge the woman to a game of tennis,use the glove to catch a ball,tell the boy to be careful with his tennis racket.,vis,lan,vis,lan,targ,4
7964,am bored with the competition,,swing my tennis racket,play tennis with the mane,leave the court before the men finish their tennis match,wait until the volleyball match is over,i would stop to watch the children play football,vis,vis,targ,lan,lan,2
7965,want to enjoy the local college event,,throw a ball at the girl's racket so she can hit it,watch the softball game.,throw a ball at the batsman,warn the older man to watch out for the tennis racket,go watch the tennis match,vis,lan,lan,vis,targ,4
7966,want to lear how to play correctly,,go to my tennis class and pay a lot of attention,use my racquet to hit the ball,graduate to playing on the court,go to the field with my friends and play soccer,cheer on one of the teams on the tennis court,targ,lan,vis,lan,vis,0
7967,if i feeling very enjoy,,i will see if the person hit the ball,put on some sweat pants get a tennis racket and play a game,wait until the man is done with his racquet,i will go to tennis court,i will play baseball with the team,lan,vis,vis,targ,lan,3
7968,wanted to have fun,,shed a tear and applaud my favourite tennis player of all time.,go waterskiing for some exercise,play volleyball with the team,throw a ball at the girl's racket so she can hit it,join the tennis,vis,lan,lan,vis,targ,4
7969,feel like having some quality time,,teach the boy to play tennis,cheer for the tennis player on the clay court,have to win this tennis match,join in playing baseball with the man,sit on the sidewalk and play with the boy,targ,vis,vis,lan,lan,0
7970,am feeling sporty,,watch a tennis match,play baseball with my friends,warn the older man to watch out for the tennis racket,play baseball with my mates,i will hope the woman wins the tennis match,targ,lan,vis,lan,vis,0
7971,feel like getting excited,,watch the tennis player,use my tennis racket to bounce a ball off it as many times as possible without dropping it,step onto the tennis court and show the man how to serve,take a picture of the athlete playing,watch someone play frisbee,targ,vis,vis,lan,lan,0
7972,need to up my game,,use the raquet to hit the ball,go to the tennis courts and play a game with my dad,study the woman's serve and try to apply it when i play tennis next.,throw another tennis ball at the player,wait until the man is done with his racquet,lan,vis,targ,lan,vis,2
7973,want to look like an athlete,,step onto the tennis court and show the man how to serve,try playing tennis,throw another tennis ball at the player,use the raquet to hit the ball,i will hope the woman wins the tennis match,vis,targ,lan,lan,vis,1
7974,am feeling competitive,,hit the ball during a tennis game,play on a baseball field,play a game of soccer,shed a tear and applaud my favourite tennis player of all time.,i will hope the woman wins the tennis match,targ,lan,lan,vis,vis,0
7975,feel entertained,,play tennis,play frisbee with friends,wait until the man is done with his racquet,play frisbee golf with my friends,shed a tear and applaud my favourite tennis player of all time.,targ,lan,vis,lan,vis,0
7976,am feeling sporty,,graduate to playing on the court,shed a tear and applaud my favourite tennis player of all time.,hit the ball with the tennis racket,play a game of soccer,play baseball,vis,vis,targ,lan,lan,2
7977,am feeling sporty,,play tennis.,play baseball with my friends,warn the older man to watch out for the tennis racket,wait until the man is done with his racquet,play wii sports with my friends,targ,lan,vis,vis,lan,0
7978,feel ready,,play my tennis serve,hit the ball with my racket.,shed a tear and applaud my favourite tennis player of all time.,hit the ball with my racket,i will hope the woman wins the tennis match,targ,lan,vis,lan,vis,0
7979,feel sporty.,,play baseball with my friends,play wii sports with my friends,wait until the man is done with his racquet,play tennis.,shed a tear and applaud my favourite tennis player of all time.,lan,lan,vis,targ,vis,3
7980,if i was being active.,,i will play tennis.,i will have to play some dance video game on the wii,warn the older man to watch out for the tennis racket,wait until the man is done with his racquet,i will play baseball with a team.,targ,lan,vis,vis,lan,0
7981,feel like watching something exciting,,i will watch to see if the man hits the ball,tell the boy to be careful with his tennis racket.,tune in to watch roger federer play tennis,take a zoomed in picture of her behind the fence while she plays tennis,hit the ball perfectly with my racquet,lan,vis,targ,vis,lan,2
7982,am feeling entertained,,cheer when the catcher catches the baseball,cheer the man playing tennis,cheer the people on,put on some sweat pants get a tennis racket and play a game,shed a tear and applaud my favourite tennis player of all time.,lan,targ,lan,vis,vis,1
7983,want to do a good reversal,,throw a baseball to my teammates,play baseball with my friends,watch the tennis player as he plays,shed a tear and applaud my favourite tennis player of all time.,grab my tennis raquet firmly and hit the ball,lan,lan,vis,vis,targ,4
7984,am practicing the right movements,,play tennis all afternoon,i will hope the woman wins the tennis match,play some wii boxing with the woman,step onto the tennis court and show the man how to serve,play a game of baseball with friends.,targ,vis,lan,vis,lan,0
7985,want to be competitive,,play baseball with my friends,play baseball with others,play tennis,shed a tear and applaud my favourite tennis player of all time.,wait until the man is done with his racquet,lan,lan,targ,vis,vis,2
7986,am feeling proud,,go to the park and play tennis at the courts,wait until the man is done with his racquet,i will play with my frisbee,congratulate my friend after a tennis game,hit the ball with my racket.,vis,vis,lan,targ,lan,3
7987,am bored,,hope that the tennis ball falls on the man,watch a game of tennis at the club,sit down and watch the volleyball game,go out to the park to play frisbee,shed a tear and applaud my favourite tennis player of all time.,vis,targ,lan,lan,vis,1
7988,want to work out,,i will hope the woman wins the tennis match,wait until the man is done with his racquet,play soccer out in the driveway,play frisbee at night with some friends,play some tennis on grass,vis,vis,lan,lan,targ,4
7989,had nothing to do,,will hit the tennis ball with the racket,correct this girl's backhand serve.,watch people play tennis,play baseball with friends.,play backcatcher in baseball,vis,vis,targ,lan,lan,2
7990,want to meet strangers,,graduate to playing on the court,step onto the tennis court and show the man how to serve,practice baseball with the men,play soccer with these players,join the tennis players,vis,vis,lan,lan,targ,4
7991,don't want to be alone,,play with my tennis racket at the court with my friends,play baseball with my friends,be concerned about the tennis player who fell down,play baseball with my friends.,shed a tear and applaud my favourite tennis player of all time.,targ,lan,vis,lan,vis,0
7992,am in the mood to be active,,warn the older man to watch out for the tennis racket,play frisbee,join friends for a game of tennis,hope that the tennis ball falls on the man,play volleyball,vis,lan,targ,vis,lan,2
7993,want to get excited,,grab a tennis racket and start waving it around like a sword,play baseball with my friends.,wait until the man is done with his racquet,watch my favorite tennis player,use my racquet to hit the ball,vis,lan,vis,targ,lan,3
7994,want to work out,,warn the older man to watch out for the tennis racket,play on a baseball field,hope that the tennis ball falls on the man,play soccer.,play tennis on a clay court,vis,lan,vis,lan,targ,4
7995,am feeling sporty,,hope the player hits the ball,grab a tennis racket and start waving it around like a sword,will watch the men play frisbee while i have a rest,will play a tennis match,put on some sweat pants get a tennis racket and play a game,lan,vis,lan,targ,vis,3
7996,want to be bold,,wear a formal clothes with a tie,dress up in a suit,hope that the tennis ball falls on the man,play tennis in dress clothes,shed a tear and applaud my favourite tennis player of all time.,lan,lan,vis,targ,vis,3
7997,want to make an effort to make a good game,,compete in the olympics,hit the ball with the racket very strong,go downtown to the tennis court,play racket tennis to win this game,hit the ball perfectly with my racquet,vis,lan,vis,targ,lan,3
7998,feel sporty,,warn the older man to watch out for the tennis racket,play tennis,play baseball with friends.,play baseball with friends,shed a tear and applaud my favourite tennis player of all time.,vis,targ,lan,lan,vis,1
7999,want to play a sport,,watch the skateboarder perform some tricks.,use the surfboards,learn how to use a tennis racket,cheer the tennis player on,cheer for the tennis player,lan,lan,targ,vis,vis,2
8000,am feeling excited about sports,,watch a good tennis match.,play a game of baseball with friends.,be concerned about the tennis player who fell down,play baseball with friends.,graduate to playing on the court,targ,lan,vis,lan,vis,0
8001,am rested enough,,play tennis in the gym with the children.,play frisbee with them in the park,i will hope the woman wins the tennis match,play a game of volleyball with these people,shed a tear and applaud my favourite tennis player of all time.,targ,lan,vis,lan,vis,0
8002,want some fun,,warn the older man to watch out for the tennis racket,play baseball with friends.,watch tennis,play baseball with friends,graduate to playing on the court,vis,lan,targ,lan,vis,2
8003,were feeling competitive,,play in a tennis match using my favorite tennis racket,hope that the tennis ball falls on the man,play a game of baseball with friends.,play baseball with friends.,shed a tear and applaud my favourite tennis player of all time.,targ,vis,lan,lan,vis,0
8004,have a few hours,,play basketball,play volleyball with the team,be concerned about the tennis player who fell down,try hard to win my match of tennis.,teach kids to play tennis,lan,lan,vis,vis,targ,4
8005,feel engaged,,watch the softball game.,use my tennis racket to bounce a ball off it as many times as possible without dropping it,watch the tennis,graduate to playing on the court,throw another tennis ball at the player,lan,vis,targ,vis,lan,2
8006,want to be active,,i will hope the woman wins the tennis match,play baseball with friends,hope that the tennis ball falls on the man,play tennis,play baseball with my friends,vis,lan,vis,targ,lan,3
8007,am feeling accomplished and tired,,shake hands with fellow players after a game of tennis,play baseball with the man,i would go out and play tennis with my friends,play a game of soccer,put on some sweat pants get a tennis racket and play a game,targ,lan,vis,lan,vis,0
8008,want to keep fit,,wait until the man is done with his racquet,play tennis,play baseball with friends,play baseball with friends.,shed a tear and applaud my favourite tennis player of all time.,vis,targ,lan,lan,vis,1
8009,want to play,,throw another tennis ball at the player,graduate to playing on the court,hit the ball with my baseball bat,leave the women playing tennis.,grab my tennis racket,lan,vis,lan,vis,targ,4
8010,am feeling sporty,,play baseball with friends.,play tennis,warn the older man to watch out for the tennis racket,shed a tear and applaud my favourite tennis player of all time.,play baseball with friends,lan,targ,vis,vis,lan,1
8011,am competing,,play baseball,i will hope the woman wins the tennis match,throw another tennis ball at the player,join the boys learning tennis,bring a tennis racket to the court,lan,vis,lan,vis,targ,4
8012,want to feel the heat,,capture tennis players in mid shots,go to the field with my friends and play soccer,play soccer,join the spectator and watch tennis,see if the woman hits the tennis ball with her racket,vis,lan,lan,targ,vis,3
8013,am feeling sporty,,graduate to playing on the court,watch the ball and swing my bat,shed a tear and applaud my favourite tennis player of all time.,throw a ball at the batsman,watch a cricket match,vis,lan,vis,lan,targ,4
8014,want to play,,shed a tear and applaud my favourite tennis player of all time.,graduate to playing on the court,have a game of frisbee with them,play a game of frisbee with them,borrow the tennis racket,vis,vis,lan,lan,targ,4
8015,want to learn a sport,,play baseball with friends,take a zoomed in picture of her behind the fence while she plays tennis,watch the boy play tennis,watch kids play soccer,go downtown to the tennis court,lan,vis,targ,lan,vis,2
8016,i get bored more and more,,i will play baseball with a team.,i will play frisbee with the little girl,step onto the tennis court and show the man how to serve,i will play tennis,tell the boy to be careful with his tennis racket.,lan,lan,vis,targ,vis,3
8017,if i feeling very enjoy,,be concerned about the tennis player who fell down,i will have to play some dance video game on the wii,grab a tennis racket and start waving it around like a sword,i will play my favourite sport in a league match,i will go to tennis game,vis,lan,vis,lan,targ,4
8018,am bored,,warn the older man to watch out for the tennis racket,watch the woman playing tennis,play frisbee with the little girl outside.,go downtown to the tennis court,play frisbee with this woman and child.,vis,targ,lan,vis,lan,1
8019,was feeling athletic,,step onto the tennis court and show the man how to serve,wait until the man is done with his racquet,i would play a tennis game with these people,play soccer with these guys,i would play video games,vis,vis,targ,lan,lan,2
8020,am bored,,bounce a tennis ball around,shed a tear and applaud my favourite tennis player of all time.,i will hope the woman wins the tennis match,take a turn jumping in the bouncy house,catch the frisbee and throw it in another direction,targ,vis,vis,lan,lan,0
8021,want to watch good athletes,,compare images of me hitting the tennis ball with my racket to improve my game,warn the older man to watch out for the tennis racket,play baseball with the women,play baseball with friends.,take in a tennis match,vis,vis,lan,lan,targ,4
8022,want to get better,,put on some sweat pants get a tennis racket and play a game,train harder on the tennis court,grab a tennis racket and start waving it around like a sword,watch the skateboarders on the park,skateboard down the hall and do a trick,vis,targ,vis,lan,lan,1
8023,feeling energetic,,play a game of baseball with friends.,wait until the man is done with his racquet,play baseball with friends,shed a tear and applaud my favourite tennis player of all time.,play tennis,lan,vis,lan,vis,targ,4
8024,feel sporty,,play baseball with my friends,shed a tear and applaud my favourite tennis player of all time.,warn the older man to watch out for the tennis racket,play tennis,play a game of baseball with friends.,lan,vis,vis,targ,lan,3
8025,am feeling competitive,,step onto the tennis court and show the man how to serve,play a game of baseball with friends.,be concerned about the tennis player who fell down,throw another tennis ball at the player,play a tennis match.,vis,lan,vis,lan,targ,4
8026,want to feel strong,,watch her hit this tennis ball,play volleyball,put on some sweat pants get a tennis racket and play a game,go to the tennis game and have fun there,play tennis against a fearless competitor,lan,lan,vis,vis,targ,4
8027,want to exercise,,warn the older man to watch out for the tennis racket,play a game of baseball with friends.,wait until the man is done with his racquet,play a tennis match,play baseball with others,vis,lan,vis,targ,lan,3
8028,am feeling athletic,,shed a tear and applaud my favourite tennis player of all time.,play a game of baseball with friends.,play some tennis,i will hope the woman wins the tennis match,use my racquet to hit the ball,vis,lan,targ,vis,lan,2
8029,if i feelinf very funny,,wait until the man is done with his racquet,shed a tear and applaud my favourite tennis player of all time.,i will go to tennis game,i will have to play some dance video game on the wii,i will play baseball with a team.,vis,vis,targ,lan,lan,2
8030,want to do exercises to keep myself in shape,,step onto the tennis court and show the man how to serve,wait until the man is done with his racquet,play tennis all afternoon,play baseball with friends.,play a game of baseball with friends.,vis,vis,targ,lan,lan,2
8031,feel like watching,,use my tennis racket to bounce a ball off it as many times as possible without dropping it,cheer on the boy at bat,cheer on the men on the soccer field.,hit the local grass tennis courts and get in a game or two.,cheer on the tennis player,vis,lan,lan,vis,targ,4
8032,wanted to get some exercise while having fun,,i would call a friend and play a game of tennis,play a game of frisbee with them,wait until the man is done with his racquet,go downtown to the tennis court,play some videogames with my friends,targ,lan,vis,vis,lan,0
8033,i am feeling sporty,,play baseball with my friends,shed a tear and applaud my favourite tennis player of all time.,leave the court before the men finish their tennis match,play tennis with a friend,play a game of football with friends,lan,vis,vis,targ,lan,3
8034,want to watch the game,,wait until the volleyball match is over,copy the man's pose on the tennis court,wait for the women to finish checking their racquets and start to play tennis,learn to play cricket.,i will watch the men play soccer,lan,vis,targ,vis,lan,2
8035,want to be energetic,,i will hope the woman wins the tennis match,cheer for the tennis player,play baseball,use the bat and play tennis,play baseball a lot,vis,vis,lan,targ,lan,3
8036,want to keep fit,,play baseball with others,play tennis,warn the older man to watch out for the tennis racket,wait until the man is done with his racquet,play a game of baseball with friends.,lan,targ,vis,vis,lan,1
8037,wanted to excercise,,play baseball with my mates,warn the older man to watch out for the tennis racket,shed a tear and applaud my favourite tennis player of all time.,play tennis,play football in the park,lan,vis,vis,targ,lan,3
8038,if i feeling very enjoy,,i will go to court tennis,hit the ball with my racket,wait until the man is done with his racquet,watch the woman play tennis with a professional wilson racquet,hit the ball with my racket.,targ,lan,vis,vis,lan,0
8039,feel sporty,,i will hope the woman wins the tennis match,leave the court before the men finish their tennis match,hit the ball with my racket,grab my tennis racket and ball,hit the ball with my racket.,vis,vis,lan,targ,lan,3
8040,am ready to concentrate,,cheer when the player throws thw baseball,wait until the man is done with his racquet,watch my opponent hit the tennis ball and then return it,play a game of virtual baseball,cheer for my preferred pair of tennis players,lan,vis,targ,lan,vis,2
